gene_id,symbol,name,cytoband,type,num_cohort_ssm_affected_cases,num_cohort_ssm_cases,cohort_ssm_affected_cases_percentage,num_gdc_ssm_affected_cases,num_gdc_ssm_cases,gdc_ssm_affected_cases_percentage,num_cohort_cnv_cases,num_cohort_cnv_gain_cases,cohort_cnv_gain_cases_percentage,num_cohort_cnv_loss_cases,cohort_cnv_loss_cases_percentage,num_mutations,annotations
ENSG00000171862,PTEN,phosphatase and tensin homolog,10q23.31,protein_coding,25,513,4.87,1268,16508,7.68,515,1,0.19,52,10.10,23,Cancer Gene Census
ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",19p13.2,protein_coding,24,513,4.68,583,16508,3.53,515,42,8.16,8,1.55,26,Cancer Gene Census
ENSG00000145675,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,5q13.1,protein_coding,22,513,4.29,577,16508,3.50,515,6,1.17,27,5.24,22,Cancer Gene Census
ENSG00000182054,IDH2,isocitrate dehydrogenase (NADP(+)) 2,15q26.1,protein_coding,21,513,4.09,146,16508,0.88,515,12,2.33,43,8.35,6,Cancer Gene Census
ENSG00000117713,ARID1A,AT-rich interaction domain 1A,1p36.11,protein_coding,17,513,3.31,1154,16508,6.99,515,10,1.94,191,37.09,20,Cancer Gene Census
ENSG00000183337,BCOR,BCL6 corepressor,Xp11.4,protein_coding,17,513,3.31,492,16508,2.98,515,0,0.00,0,0.00,19,Cancer Gene Census
ENSG00000140262,TCF12,transcription factor 12,15q21.3,protein_coding,13,513,2.53,191,16508,1.16,515,7,1.36,57,11.07,14,Cancer Gene Census
ENSG00000164796,CSMD3,CUB and Sushi multiple domains 3,8q23.3,protein_coding,13,513,2.53,1991,16508,12.06,515,82,15.92,6,1.17,15,Cancer Gene Census
ENSG00000119772,DNMT3A,DNA methyltransferase 3 alpha,2p23.3,protein_coding,11,513,2.14,338,16508,2.05,515,6,1.17,17,3.30,11,Cancer Gene Census
ENSG00000167548,KMT2D,lysine methyltransferase 2D,12q13.12,protein_coding,11,513,2.14,1336,16508,8.09,515,7,1.36,48,9.32,17,Cancer Gene Census
ENSG00000189079,ARID2,AT-rich interaction domain 2,12q12,protein_coding,11,513,2.14,529,16508,3.20,515,7,1.36,49,9.51,16,Cancer Gene Census
ENSG00000196159,FAT4,FAT atypical cadherin 4,4q28.1,protein_coding,11,513,2.14,1444,16508,8.75,515,4,0.78,82,15.92,17,Cancer Gene Census
ENSG00000198354,DCAF12L2,DDB1 and CUL4 associated factor 12 like 2,Xq25,protein_coding,11,513,2.14,394,16508,2.39,515,0,0.00,0,0.00,11,Cancer Gene Census
ENSG00000083857,FAT1,FAT atypical cadherin 1,4q35.2,protein_coding,10,513,1.95,1069,16508,6.48,515,5,0.97,97,18.83,15,Cancer Gene Census
ENSG00000168702,LRP1B,LDL receptor related protein 1B,"2q22.1, 2q22.2",protein_coding,10,513,1.95,1784,16508,10.81,515,4,0.78,10,1.94,20,Cancer Gene Census
ENSG00000047936,ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase",6q22.1,protein_coding,9,513,1.75,611,16508,3.70,515,0,0.00,69,13.40,9,Cancer Gene Census
ENSG00000153201,RANBP2,RAN binding protein 2,2q13,protein_coding,9,513,1.75,533,16508,3.23,515,4,0.78,7,1.36,10,Cancer Gene Census
ENSG00000181555,SETD2,"SET domain containing 2, histone lysine methyltransferase",3p21.31,protein_coding,9,513,1.75,636,16508,3.85,515,4,0.78,42,8.16,11,Cancer Gene Census
ENSG00000184634,MED12,mediator complex subunit 12,Xq13.1,protein_coding,9,513,1.75,561,16508,3.40,515,0,0.00,0,0.00,13,Cancer Gene Census
ENSG00000037280,FLT4,fms related receptor tyrosine kinase 4,5q35.3,protein_coding,8,513,1.56,477,16508,2.89,515,11,2.14,46,8.93,9,Cancer Gene Census
ENSG00000055609,KMT2C,lysine methyltransferase 2C,7q36.1,protein_coding,8,513,1.56,1063,16508,6.44,515,157,30.49,3,0.58,12,Cancer Gene Census
ENSG00000156650,KAT6B,lysine acetyltransferase 6B,10q22.2,protein_coding,8,513,1.56,349,16508,2.11,515,2,0.39,89,17.28,10,Cancer Gene Census
ENSG00000163939,PBRM1,polybromo 1,3p21.1,protein_coding,8,513,1.56,580,16508,3.51,515,5,0.97,43,8.35,12,Cancer Gene Census
ENSG00000179295,PTPN11,protein tyrosine phosphatase non-receptor type 11,12q24.13,protein_coding,8,513,1.56,341,16508,2.07,515,8,1.55,39,7.57,7,Cancer Gene Census
ENSG00000196367,TRRAP,transformation/transcription domain associated protein,7q22.1,protein_coding,8,513,1.56,754,16508,4.57,515,143,27.77,1,0.19,13,Cancer Gene Census
ENSG00000049618,ARID1B,AT-rich interaction domain 1B,6q25.3,protein_coding,7,513,1.36,479,16508,2.90,515,0,0.00,74,14.37,11,Cancer Gene Census
ENSG00000079112,CDH17,cadherin 17,8q22.1,protein_coding,7,513,1.36,264,16508,1.60,515,63,12.23,8,1.55,7,Cancer Gene Census
ENSG00000081237,PTPRC,protein tyrosine phosphatase receptor type C,"1q31.3, 1q32.1",protein_coding,7,513,1.36,491,16508,2.97,515,22,4.27,9,1.75,7,Cancer Gene Census
ENSG00000104517,UBR5,ubiquitin protein ligase E3 component n-recognin 5,8q22.3,protein_coding,7,513,1.36,560,16508,3.39,515,75,14.56,6,1.17,12,Cancer Gene Census
ENSG00000115524,SF3B1,splicing factor 3b subunit 1,2q33.1,protein_coding,7,513,1.36,366,16508,2.22,515,5,0.97,13,2.52,9,Cancer Gene Census
ENSG00000134250,NOTCH2,notch receptor 2,1p12,protein_coding,7,513,1.36,431,16508,2.61,515,10,1.94,172,33.40,11,Cancer Gene Census
ENSG00000139618,BRCA2,BRCA2 DNA repair associated,13q13.1,protein_coding,7,513,1.36,569,16508,3.45,515,5,0.97,94,18.25,9,Cancer Gene Census
ENSG00000153707,PTPRD,protein tyrosine phosphatase receptor type D,"9p24.1, 9p23",protein_coding,7,513,1.36,767,16508,4.65,515,9,1.75,123,23.88,10,Cancer Gene Census
ENSG00000165323,FAT3,FAT atypical cadherin 3,11q14.3,protein_coding,7,513,1.36,1438,16508,8.71,515,40,7.77,14,2.72,8,Cancer Gene Census
ENSG00000165731,RET,ret proto-oncogene,10q11.21,protein_coding,7,513,1.36,365,16508,2.21,515,8,1.55,81,15.73,8,Cancer Gene Census
ENSG00000183454,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,16p13.2,protein_coding,7,513,1.36,776,16508,4.70,515,9,1.75,13,2.52,7,Cancer Gene Census
ENSG00000044524,EPHA3,EPH receptor A3,3p11.1,protein_coding,6,513,1.17,526,16508,3.19,515,1,0.19,26,5.05,6,Cancer Gene Census
ENSG00000085185,BCORL1,BCL6 corepressor like 1,Xq26.1,protein_coding,6,513,1.17,517,16508,3.13,515,0,0.00,0,0.00,7,Cancer Gene Census
ENSG00000085276,MECOM,MDS1 and EVI1 complex locus,3q26.2,protein_coding,6,513,1.17,444,16508,2.69,515,7,1.36,25,4.85,10,Cancer Gene Census
ENSG00000121741,ZMYM2,zinc finger MYM-type containing 2,13q12.11,protein_coding,6,513,1.17,290,16508,1.76,515,5,0.97,84,16.31,7,Cancer Gene Census
ENSG00000127329,PTPRB,protein tyrosine phosphatase receptor type B,12q15,protein_coding,6,513,1.17,633,16508,3.83,515,10,1.94,41,7.96,8,Cancer Gene Census
ENSG00000127914,AKAP9,A-kinase anchoring protein 9,7q21.2,protein_coding,6,513,1.17,660,16508,4.00,515,130,25.24,1,0.19,9,Cancer Gene Census
ENSG00000130779,CLIP1,CAP-Gly domain containing linker protein 1,12q24.31,protein_coding,6,513,1.17,266,16508,1.61,515,17,3.30,32,6.21,7,Cancer Gene Census
ENSG00000133392,MYH11,myosin heavy chain 11,16p13.11,protein_coding,6,513,1.17,570,16508,3.45,515,9,1.75,15,2.91,5,Cancer Gene Census
ENSG00000134853,PDGFRA,platelet derived growth factor receptor alpha,4q12,protein_coding,6,513,1.17,444,16508,2.69,515,26,5.05,31,6.02,10,Cancer Gene Census
ENSG00000139687,RB1,RB transcriptional corepressor 1,13q14.2,protein_coding,6,513,1.17,573,16508,3.47,515,5,0.97,103,20.00,6,Cancer Gene Census
ENSG00000147130,ZMYM3,zinc finger MYM-type containing 3,Xq13.1,protein_coding,6,513,1.17,323,16508,1.96,515,0,0.00,0,0.00,7,Cancer Gene Census
ENSG00000150457,LATS2,large tumor suppressor kinase 2,13q12.11,protein_coding,6,513,1.17,260,16508,1.57,515,4,0.78,87,16.89,6,Cancer Gene Census
ENSG00000185008,ROBO2,roundabout guidance receptor 2,3p12.3,protein_coding,6,513,1.17,670,16508,4.06,515,2,0.39,32,6.21,10,Cancer Gene Census
ENSG00000196924,FLNA,filamin A,Xq28,protein_coding,6,513,1.17,590,16508,3.57,515,0,0.00,0,0.00,12,Cancer Gene Census
ENSG00000198173,FAM47C,family with sequence similarity 47 member C,Xp21.1,protein_coding,6,513,1.17,635,16508,3.85,515,0,0.00,0,0.00,6,Cancer Gene Census
ENSG00000198793,MTOR,mechanistic target of rapamycin kinase,1p36.22,protein_coding,6,513,1.17,517,16508,3.13,515,10,1.94,197,38.25,7,Cancer Gene Census
ENSG00000046889,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",8q13.2,protein_coding,5,513,0.97,699,16508,4.23,515,39,7.57,10,1.94,6,Cancer Gene Census
ENSG00000051341,POLQ,DNA polymerase theta,3q13.33,protein_coding,5,513,0.97,530,16508,3.21,515,2,0.39,30,5.83,5,Cancer Gene Census
ENSG00000101096,NFATC2,nuclear factor of activated T cells 2,20q13.2,protein_coding,5,513,0.97,327,16508,1.98,515,35,6.80,3,0.58,6,Cancer Gene Census
ENSG00000107485,GATA3,GATA binding protein 3,10p14,protein_coding,5,513,0.97,386,16508,2.34,515,61,11.84,77,14.95,6,Cancer Gene Census
ENSG00000111642,CHD4,chromodomain helicase DNA binding protein 4,12p13.31,protein_coding,5,513,0.97,556,16508,3.37,515,61,11.84,8,1.55,5,Cancer Gene Census
ENSG00000118058,KMT2A,lysine methyltransferase 2A,11q23.3,protein_coding,5,513,0.97,686,16508,4.16,515,59,11.46,16,3.11,8,Cancer Gene Census
ENSG00000124181,PLCG1,phospholipase C gamma 1,20q12,protein_coding,5,513,0.97,255,16508,1.54,515,34,6.60,2,0.39,5,Cancer Gene Census
ENSG00000129204,USP6,ubiquitin specific peptidase 6,17p13.2,protein_coding,5,513,0.97,348,16508,2.11,515,5,0.97,7,1.36,5,Cancer Gene Census
ENSG00000139219,COL2A1,collagen type II alpha 1 chain,12q13.11,protein_coding,5,513,0.97,410,16508,2.48,515,7,1.36,47,9.13,7,Cancer Gene Census
ENSG00000141027,NCOR1,nuclear receptor corepressor 1,"17p12, 17p11.2",protein_coding,5,513,0.97,538,16508,3.26,515,7,1.36,7,1.36,10,Cancer Gene Census
ENSG00000144554,FANCD2,FA complementation group D2,3p25.3,protein_coding,5,513,0.97,272,16508,1.65,515,14,2.72,26,5.05,6,Cancer Gene Census
ENSG00000145113,MUC4,"mucin 4, cell surface associated",3q29,protein_coding,5,513,0.97,637,16508,3.86,515,11,2.14,41,7.96,11,Cancer Gene Census
ENSG00000148584,A1CF,APOBEC1 complementation factor,10q11.23,protein_coding,5,513,0.97,262,16508,1.59,515,4,0.78,76,14.76,6,Cancer Gene Census
ENSG00000157388,CACNA1D,calcium voltage-gated channel subunit alpha1 D,3p21.1,protein_coding,5,513,0.97,512,16508,3.10,515,5,0.97,42,8.16,6,Cancer Gene Census
ENSG00000157404,KIT,"KIT proto-oncogene, receptor tyrosine kinase",4q12,protein_coding,5,513,0.97,338,16508,2.05,515,21,4.08,32,6.21,5,Cancer Gene Census
ENSG00000163041,H3-3A,H3.3 histone A,1q42.12,protein_coding,5,513,0.97,49,16508,0.30,515,22,4.27,17,3.30,5,Cancer Gene Census
ENSG00000167258,CDK12,cyclin dependent kinase 12,17q12,protein_coding,5,513,0.97,371,16508,2.25,515,10,1.94,11,2.14,5,Cancer Gene Census
ENSG00000172915,NBEA,neurobeachin,13q13.3,protein_coding,5,513,0.97,704,16508,4.26,515,4,0.78,95,18.45,5,Cancer Gene Census
ENSG00000174469,CNTNAP2,contactin associated protein 2,"7q35, 7q36.1",protein_coding,5,513,0.97,819,16508,4.96,515,155,30.10,3,0.58,6,Cancer Gene Census
ENSG00000184675,AMER1,APC membrane recruitment protein 1,Xq11.2,protein_coding,5,513,0.97,431,16508,2.61,515,0,0.00,0,0.00,9,Cancer Gene Census
ENSG00000198286,CARD11,caspase recruitment domain family member 11,7p22.2,protein_coding,5,513,0.97,485,16508,2.94,515,92,17.86,14,2.72,5,Cancer Gene Census
ENSG00000005339,CREBBP,CREB binding protein,16p13.3,protein_coding,4,513,0.78,777,16508,4.71,515,9,1.75,14,2.72,9,Cancer Gene Census
ENSG00000010671,BTK,Bruton tyrosine kinase,Xq22.1,protein_coding,4,513,0.78,243,16508,1.47,515,0,0.00,0,0.00,4,Cancer Gene Census
ENSG00000041982,TNC,tenascin C,9q33.1,protein_coding,4,513,0.78,528,16508,3.20,515,23,4.47,30,5.83,8,Cancer Gene Census
ENSG00000047410,TPR,"translocated promoter region, nuclear basket protein",1q31.1,protein_coding,4,513,0.78,464,16508,2.81,515,24,4.66,6,1.17,8,Cancer Gene Census
ENSG00000067842,ATP2B3,ATPase plasma membrane Ca2+ transporting 3,Xq28,protein_coding,4,513,0.78,429,16508,2.60,515,0,0.00,0,0.00,5,Cancer Gene Census
ENSG00000068323,TFE3,transcription factor binding to IGHM enhancer 3,Xp11.23,protein_coding,4,513,0.78,203,16508,1.23,515,0,0.00,0,0.00,3,Cancer Gene Census
ENSG00000070371,CLTCL1,clathrin heavy chain like 1,22q11.21,protein_coding,4,513,0.78,315,16508,1.91,515,8,1.55,37,7.18,5,Cancer Gene Census
ENSG00000072501,SMC1A,structural maintenance of chromosomes 1A,Xp11.22,protein_coding,4,513,0.78,269,16508,1.63,515,0,0.00,0,0.00,6,Cancer Gene Census
ENSG00000079102,RUNX1T1,RUNX1 partner transcriptional co-repressor 1,8q21.3,protein_coding,4,513,0.78,513,16508,3.11,515,60,11.65,9,1.75,4,Cancer Gene Census
ENSG00000095015,MAP3K1,mitogen-activated protein kinase kinase kinase 1,5q11.2,protein_coding,4,513,0.78,385,16508,2.33,515,7,1.36,24,4.66,4,Cancer Gene Census
ENSG00000101972,STAG2,stromal antigen 2,Xq25,protein_coding,4,513,0.78,400,16508,2.42,515,0,0.00,0,0.00,5,Cancer Gene Census
ENSG00000105976,MET,"MET proto-oncogene, receptor tyrosine kinase",7q31.2,protein_coding,4,513,0.78,350,16508,2.12,515,152,29.51,1,0.19,8,Cancer Gene Census
ENSG00000108821,COL1A1,collagen type I alpha 1 chain,17q21.33,protein_coding,4,513,0.78,384,16508,2.33,515,14,2.72,9,1.75,5,Cancer Gene Census
ENSG00000110844,PRPF40B,pre-mRNA processing factor 40 homolog B,12q13.12,protein_coding,4,513,0.78,201,16508,1.22,515,6,1.17,48,9.32,4,Cancer Gene Census
ENSG00000119866,BCL11A,BAF chromatin remodeling complex subunit BCL11A,2p16.1,protein_coding,4,513,0.78,384,16508,2.33,515,6,1.17,15,2.91,5,Cancer Gene Census
ENSG00000122778,KIAA1549,KIAA1549,7q34,protein_coding,4,513,0.78,469,16508,2.84,515,162,31.46,2,0.39,5,Cancer Gene Census
ENSG00000125952,MAX,MYC associated factor X,14q23.3,protein_coding,4,513,0.78,142,16508,0.86,515,1,0.19,105,20.39,2,Cancer Gene Census
ENSG00000128052,KDR,kinase insert domain receptor,4q12,protein_coding,4,513,0.78,503,16508,3.05,515,20,3.88,32,6.21,5,Cancer Gene Census
ENSG00000131023,LATS1,large tumor suppressor kinase 1,6q25.1,protein_coding,4,513,0.78,285,16508,1.73,515,0,0.00,73,14.17,4,Cancer Gene Census
ENSG00000135679,MDM2,MDM2 proto-oncogene,12q15,protein_coding,4,513,0.78,111,16508,0.67,515,12,2.33,41,7.96,4,Cancer Gene Census
ENSG00000136352,NKX2-1,NK2 homeobox 1,14q13.3,protein_coding,4,513,0.78,106,16508,0.64,515,4,0.78,57,11.07,4,Cancer Gene Census
ENSG00000137497,NUMA1,nuclear mitotic apparatus protein 1,11q13.4,protein_coding,4,513,0.78,358,16508,2.17,515,34,6.60,13,2.52,6,Cancer Gene Census
ENSG00000137812,KNL1,kinetochore scaffold 1,15q15.1,protein_coding,4,513,0.78,333,16508,2.02,515,4,0.78,51,9.90,5,Cancer Gene Census
ENSG00000140836,ZFHX3,zinc finger homeobox 3,"16q22.2, 16q22.3",protein_coding,4,513,0.78,838,16508,5.08,515,10,1.94,22,4.27,6,Cancer Gene Census
ENSG00000141968,VAV1,vav guanine nucleotide exchange factor 1,19p13.3,protein_coding,4,513,0.78,277,16508,1.68,515,43,8.35,10,1.94,4,Cancer Gene Census
ENSG00000148737,TCF7L2,transcription factor 7 like 2,"10q25.2, 10q25.3",protein_coding,4,513,0.78,301,16508,1.82,515,1,0.19,126,24.47,4,Cancer Gene Census
ENSG00000163629,PTPN13,protein tyrosine phosphatase non-receptor type 13,4q21.3,protein_coding,4,513,0.78,445,16508,2.70,515,6,1.17,63,12.23,4,Cancer Gene Census
ENSG00000168769,TET2,tet methylcytosine dioxygenase 2,4q24,protein_coding,4,513,0.78,335,16508,2.03,515,5,0.97,66,12.82,5,Cancer Gene Census
ENSG00000173674,EIF1AX,eukaryotic translation initiation factor 1A X-linked,Xp22.12,protein_coding,4,513,0.78,81,16508,0.49,515,0,0.00,0,0.00,4,Cancer Gene Census
ENSG00000178568,ERBB4,erb-b2 receptor tyrosine kinase 4,2q34,protein_coding,4,513,0.78,673,16508,4.08,515,7,1.36,16,3.11,5,Cancer Gene Census
ENSG00000182511,FES,"FES proto-oncogene, tyrosine kinase",15q26.1,protein_coding,4,513,0.78,163,16508,0.99,515,13,2.52,42,8.16,4,Cancer Gene Census
ENSG00000183742,MACC1,MET transcriptional regulator MACC1,7p21.1,protein_coding,4,513,0.78,234,16508,1.42,515,96,18.64,2,0.39,4,Cancer Gene Census
ENSG00000184507,NUTM1,NUT midline carcinoma family member 1,15q14,protein_coding,4,513,0.78,311,16508,1.88,515,4,0.78,48,9.32,4,Cancer Gene Census
ENSG00000185177,ZNF479,zinc finger protein 479,7p11.2,protein_coding,4,513,0.78,389,16508,2.36,515,95,18.45,2,0.39,5,Cancer Gene Census
ENSG00000186716,BCR,BCR activator of RhoGEF and GTPase,22q11.23,protein_coding,4,513,0.78,275,16508,1.67,515,7,1.36,39,7.57,5,Cancer Gene Census
ENSG00000187323,DCC,DCC netrin 1 receptor,18q21.2,protein_coding,4,513,0.78,750,16508,4.54,515,10,1.94,52,10.10,5,Cancer Gene Census
ENSG00000196498,NCOR2,nuclear receptor corepressor 2,12q24.31,protein_coding,4,513,0.78,514,16508,3.11,515,15,2.91,32,6.21,7,Cancer Gene Census
ENSG00000196531,NACA,nascent polypeptide associated complex subunit alpha,12q13.3,protein_coding,4,513,0.78,341,16508,2.07,515,11,2.14,42,8.16,5,Cancer Gene Census
ENSG00000197535,MYO5A,myosin VA,15q21.2,protein_coding,4,513,0.78,366,16508,2.22,515,6,1.17,52,10.10,7,Cancer Gene Census
ENSG00000198795,ZNF521,zinc finger protein 521,18q11.2,protein_coding,4,513,0.78,537,16508,3.25,515,12,2.33,50,9.71,4,Cancer Gene Census
ENSG00000198822,GRM3,glutamate metabotropic receptor 3,"7q21.11, 7q21.12",protein_coding,4,513,0.78,532,16508,3.22,515,120,23.30,1,0.19,5,Cancer Gene Census
ENSG00000062822,POLD1,"DNA polymerase delta 1, catalytic subunit",19q13.33,protein_coding,3,513,0.58,252,16508,1.53,515,21,4.08,252,48.93,3,Cancer Gene Census
ENSG00000065526,SPEN,spen family transcriptional repressor,"1p36.21, 1p36.13",protein_coding,3,513,0.58,629,16508,3.81,515,12,2.33,190,36.89,7,Cancer Gene Census
ENSG00000066032,CTNNA2,catenin alpha 2,2p12,protein_coding,3,513,0.58,670,16508,4.06,515,5,0.97,12,2.33,3,Cancer Gene Census
ENSG00000072364,AFF4,AF4/FMR2 family member 4,5q31.1,protein_coding,3,513,0.58,241,16508,1.46,515,7,1.36,37,7.18,3,Cancer Gene Census
ENSG00000073282,TP63,tumor protein p63,3q28,protein_coding,3,513,0.58,402,16508,2.44,515,9,1.75,36,6.99,3,Cancer Gene Census
ENSG00000078674,PCM1,pericentriolar material 1,8p22,protein_coding,3,513,0.58,231,16508,1.40,515,25,4.85,18,3.50,5,Cancer Gene Census
ENSG00000082805,ERC1,ELKS/RAB6-interacting/CAST family member 1,12p13.33,protein_coding,3,513,0.58,229,16508,1.39,515,56,10.87,12,2.33,3,Cancer Gene Census
ENSG00000083168,KAT6A,lysine acetyltransferase 6A,8p11.21,protein_coding,3,513,0.58,419,16508,2.54,515,30,5.83,8,1.55,3,Cancer Gene Census
ENSG00000089280,FUS,FUS RNA binding protein,16p11.2,protein_coding,3,513,0.58,141,16508,0.85,515,8,1.55,17,3.30,3,Cancer Gene Census
ENSG00000099949,LZTR1,leucine zipper like transcription regulator 1,22q11.21,protein_coding,3,513,0.58,276,16508,1.67,515,8,1.55,37,7.18,3,Cancer Gene Census
ENSG00000100815,TRIP11,thyroid hormone receptor interactor 11,14q32.12,protein_coding,3,513,0.58,315,16508,1.91,515,2,0.39,97,18.83,4,Cancer Gene Census
ENSG00000100852,ARHGAP5,Rho GTPase activating protein 5,14q12,protein_coding,3,513,0.58,360,16508,2.18,515,4,0.78,58,11.26,4,Cancer Gene Census
ENSG00000102034,ELF4,E74 like ETS transcription factor 4,Xq26.1,protein_coding,3,513,0.58,175,16508,1.06,515,0,0.00,0,0.00,4,Cancer Gene Census
ENSG00000103197,TSC2,TSC complex subunit 2,16p13.3,protein_coding,3,513,0.58,389,16508,2.36,515,11,2.14,13,2.52,4,Cancer Gene Census
ENSG00000103522,IL21R,interleukin 21 receptor,16p12.1,protein_coding,3,513,0.58,241,16508,1.46,515,6,1.17,19,3.69,3,Cancer Gene Census
ENSG00000105662,CRTC1,CREB regulated transcription coactivator 1,19p13.11,protein_coding,3,513,0.58,158,16508,0.96,515,43,8.35,4,0.78,3,Cancer Gene Census
ENSG00000107882,SUFU,SUFU negative regulator of hedgehog signaling,10q24.32,protein_coding,3,513,0.58,127,16508,0.77,515,2,0.39,105,20.39,3,Cancer Gene Census
ENSG00000109670,FBXW7,F-box and WD repeat domain containing 7,4q31.3,protein_coding,3,513,0.58,657,16508,3.98,515,4,0.78,90,17.48,3,Cancer Gene Census
ENSG00000110092,CCND1,cyclin D1,11q13.3,protein_coding,3,513,0.58,143,16508,0.87,515,33,6.41,17,3.30,3,Cancer Gene Census
ENSG00000110713,NUP98,nucleoporin 98 and 96 precursor,11p15.4,protein_coding,3,513,0.58,327,16508,1.98,515,16,3.11,90,17.48,3,Cancer Gene Census
ENSG00000114423,CBLB,Cbl proto-oncogene B,3q13.11,protein_coding,3,513,0.58,270,16508,1.64,515,3,0.58,31,6.02,3,Cancer Gene Census
ENSG00000116128,BCL9,BCL9 transcription coactivator,1q21.2,protein_coding,3,513,0.58,340,16508,2.06,515,20,3.88,9,1.75,3,Cancer Gene Census
ENSG00000116731,PRDM2,PR/SET domain 2,1p36.21,protein_coding,3,513,0.58,333,16508,2.02,515,10,1.94,192,37.28,3,Cancer Gene Census
ENSG00000119397,CNTRL,centriolin,9q33.2,protein_coding,3,513,0.58,351,16508,2.13,515,24,4.66,29,5.63,3,Cancer Gene Census
ENSG00000121067,SPOP,speckle type BTB/POZ protein,17q21.33,protein_coding,3,513,0.58,207,16508,1.25,515,14,2.72,9,1.75,3,Cancer Gene Census
ENSG00000122025,FLT3,fms related receptor tyrosine kinase 3,13q12.2,protein_coding,3,513,0.58,440,16508,2.67,515,5,0.97,93,18.06,5,Cancer Gene Census
ENSG00000122512,PMS2,"PMS1 homolog 2, mismatch repair system component",7p22.1,protein_coding,3,513,0.58,222,16508,1.34,515,93,18.06,7,1.36,4,Cancer Gene Census
ENSG00000123080,CDKN2C,cyclin dependent kinase inhibitor 2C,1p32.3,protein_coding,3,513,0.58,57,16508,0.35,515,9,1.75,195,37.86,3,Cancer Gene Census
ENSG00000126353,CCR7,C-C motif chemokine receptor 7,17q21.2,protein_coding,3,513,0.58,94,16508,0.57,515,9,1.75,13,2.52,3,Cancer Gene Census
ENSG00000127152,BCL11B,BAF chromatin remodeling complex subunit BCL11B,14q32.2,protein_coding,3,513,0.58,352,16508,2.13,515,1,0.19,90,17.48,3,Cancer Gene Census
ENSG00000128513,POT1,protection of telomeres 1,7q31.33,protein_coding,3,513,0.58,208,16508,1.26,515,156,30.29,2,0.39,5,Cancer Gene Census
ENSG00000129993,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3,16q24.3,protein_coding,3,513,0.58,169,16508,1.02,515,8,1.55,29,5.63,3,Cancer Gene Census
ENSG00000130396,AFDN,"afadin, adherens junction formation factor",6q27,protein_coding,3,513,0.58,419,16508,2.54,515,0,0.00,71,13.79,4,Cancer Gene Census
ENSG00000130844,ZNF331,zinc finger protein 331,19q13.42,protein_coding,3,513,0.58,208,16508,1.26,515,23,4.47,258,50.10,3,Cancer Gene Census
ENSG00000132170,PPARG,peroxisome proliferator activated receptor gamma,3p25.2,protein_coding,3,513,0.58,161,16508,0.98,515,14,2.72,25,4.85,3,Cancer Gene Census
ENSG00000133124,IRS4,insulin receptor substrate 4,Xq22.3,protein_coding,3,513,0.58,459,16508,2.78,515,0,0.00,0,0.00,4,Cancer Gene Census
